playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1021659,0.0,Deividas,Uosis,22,182,78,41,RIGHT,INT,2020,,County Kerry (Ireland),,other,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1021659.png?i10c=img.resize(scale_height:0.6),28/06/2000,CD_T20,BL,Brisbane Lions,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1021660,0.0,Mate,Colina,23,213,111,39,RIGHT,VIC,2020,,Doutta Stars (Vic)/Calder U18,,other,RUCK,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1021660.png?i10c=img.resize(scale_height:0.6),20/05/1999,CD_T120,RICH,Richmond,Tigers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1022889,0.0,Eric,Benning,19,195,83,38,RIGHT,WA,2021,,Waringarri (WA)/Christ Church Grammar (WA)/Claremont (WAFL),54.0,nationalDraft,RUCK,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1022889.png?i10c=img.resize(scale_height:0.6),14/06/2003,CD_T60,FRE,Fremantle,Freo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1023167,13.0,Brady,Hough,19,190,77,19,RIGHT,WA,2021,2022,Harvey (WA)/Peel Thunder (WAFL),31.0,nationalDraft,MIDFIELDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1023167.png?i10c=img.resize(scale_height:0.6),05/03/2003,CD_T150,WCE,West Coast Eagles,Eagles,13.0,76.1,2.0,2.0,0.0,2.0,30.0,2.0,50.0,4.0,2.0,19.0,31.0,1.0,0.0,0.0,91.0,71.5,165.0,655.0,118.0,72.0,0.0,7.0,6.0,0.0,5.0,0.0,23.0,55.0,0.0,0.0,0.0,0.0,26.0,9.0,29.0,65.5,0.0,0.0,110.0,2.0,60.0,1.0,0.0,2944.0,7.0,139.0,612.0,31.9,22.0,0.0,26.0,4.0,3.0,4.0,2.0,12.0,1.0,4.0,163.0,38.0,132.0,13.0,76.1,0.2,0.2,0.0,0.2,2.3,0.2,50.0,0.3,0.2,19.0,2.4,0.1,0.0,0.0,7.0,71.5,12.7,50.4,9.1,5.5,0.0,0.5,0.5,0.0,0.4,0.0,1.8,4.2,0.0,0.0,0.0,0.0,2.0,0.7,2.2,65.5,0.0,0.0,8.5,2.0,4.6,0.1,0.0,226.5,0.5,10.7,31.9,1.7,0.0,2.0,0.3,0.2,0.3,0.2,0.9,0.1,0.3,12.5,2.9,10.2
CD_I1023224,0.0,Charlie,Parker,24,193,88,25,RIGHT,SA,2021,,Goodwood (SA)/Sturt (SANFL),17.0,rookieElevation,MIDFIELDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1023224.png?i10c=img.resize(scale_height:0.6),13/10/1997,CD_T140,WB,Western Bulldogs,Bulldogs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1023261,20.0,Nick,Daicos,19,184,73,35,RIGHT,VIC,2021,2022,Kew Rovers (Vic)/Camberwell Grammar (Vic)/Oakleigh U18,4.0,fatherSon,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1023261.png?i10c=img.resize(scale_height:0.6),03/01/2003,CD_T40,COLL,Collingwood,Magpies,20.0,81.4,5.0,19.0,22.0,7.0,67.0,2.0,33.3,6.0,0.0,25.6,123.0,2.0,0.0,0.0,157.0,77.0,526.0,1775.0,405.0,211.0,3.0,16.0,21.0,38.5,6.0,5.0,106.0,236.0,0.0,0.0,0.0,0.0,53.0,18.0,106.0,72.8,35.0,35.0,290.0,1.2,83.0,1.0,2.0,8128.0,9.0,267.0,319.0,205.6,80.0,0.0,91.0,28.0,13.0,4.0,26.0,44.0,2.0,33.0,480.0,83.0,357.0,20.0,81.4,0.3,1.0,22.0,0.4,3.4,0.1,33.3,0.3,0.0,25.6,6.2,0.1,0.0,0.0,7.9,77.0,26.3,88.8,20.3,10.6,0.2,0.8,1.1,38.5,0.3,0.3,5.3,11.8,0.0,0.0,0.0,0.0,2.7,0.9,5.3,72.8,35.0,35.0,14.5,1.2,4.2,0.1,0.1,406.4,0.5,13.4,191.5,4.0,0.0,4.6,1.4,0.7,0.2,1.3,2.2,0.1,1.7,24.0,4.2,17.9
CD_I1023266,5.0,Finn,Callaghan,19,192,86,17,LEFT,VIC,2021,2022,Mordialloc-Braeside (Vic)/St Bede&apos;s College (Vic)/Sandringham U18,3.0,nationalDraft,MIDFIELDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1023266.png?i10c=img.resize(scale_height:0.6),26/04/2003,CD_T1010,GWS,GWS Giants,Giants,5.0,73.1,0.0,1.0,0.0,0.0,12.0,1.0,100.0,1.0,1.0,26.0,20.0,1.0,0.0,0.0,32.0,72.0,75.0,270.0,54.0,28.0,1.0,3.0,2.0,100.0,2.0,2.0,17.0,34.0,0.0,0.0,0.0,0.0,11.0,1.0,14.0,68.3,0.0,0.0,41.0,1.2,18.0,0.0,1.0,1341.0,3.0,51.0,626.0,25.8,9.0,0.0,17.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,77.0,18.0,57.0,5.0,73.1,0.0,0.2,0.0,0.0,2.4,0.2,100.0,0.2,0.2,26.0,4.0,0.2,0.0,0.0,6.4,72.0,15.0,54.0,10.8,5.6,0.2,0.6,0.4,100.0,0.4,0.4,3.4,6.8,0.0,0.0,0.0,0.0,2.2,0.2,2.8,68.3,0.0,0.0,8.2,1.2,3.6,0.0,0.2,268.2,0.6,10.2,25.8,1.8,0.0,3.4,0.6,0.4,0.2,0.6,1.0,0.2,0.6,15.4,3.6,11.4
CD_I1023270,16.0,Marcus,Windhager,19,185,86,17,RIGHT,VIC,2021,2022,Beaumaris (Vic)/Haileybury College (Vic)/Sandringham U18,47.0,nationalDraft,MIDFIELDER_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1023270.png?i10c=img.resize(scale_height:0.6),16/05/2003,CD_T130,STK,St Kilda,Saints,16.0,67.9,3.0,1.0,78.0,5.0,33.0,0.0,0.0,2.0,1.0,28.8,55.0,3.0,0.0,0.0,94.0,72.4,181.0,736.0,131.0,66.0,14.0,11.0,9.0,37.5,2.0,3.0,40.0,84.0,0.0,0.0,0.0,0.0,32.0,1.0,16.0,68.0,0.0,0.0,97.0,1.2,44.0,4.0,4.0,2279.0,12.0,250.0,572.0,56.2,3.0,0.0,44.0,5.0,8.0,7.0,9.0,37.0,7.0,14.0,191.0,34.0,136.0,16.0,67.9,0.2,0.1,78.0,0.3,2.1,0.0,0.0,0.1,0.1,28.8,3.4,0.2,0.0,0.0,5.9,72.4,11.3,46.0,8.2,4.1,0.9,0.7,0.6,37.5,0.1,0.2,2.5,5.3,0.0,0.0,0.0,0.0,2.0,0.1,1.0,68.0,0.0,0.0,6.1,1.2,2.8,0.3,0.3,142.5,0.8,15.6,53.4,0.2,0.0,2.8,0.3,0.5,0.4,0.6,2.3,0.4,0.9,11.9,2.1,8.5
CD_I1023272,5.0,Mitch,Owens,18,191,85,24,RIGHT,VIC,2021,2022,Beaumaris (Vic)/Mentone Grammar (Vic)/Sandringham U18,33.0,nationalDraft,MIDFIELDER_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1023272.png?i10c=img.resize(scale_height:0.6),24/09/2003,CD_T130,STK,St Kilda,Saints,5.0,63.0,1.0,0.0,24.0,0.0,12.0,0.0,0.0,0.0,1.0,54.2,26.0,5.0,4.0,80.0,28.0,65.2,46.0,249.0,30.0,12.0,7.0,4.0,5.0,42.9,0.0,3.0,18.0,22.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,50.0,0.0,0.0,24.0,1.1,11.0,3.0,1.0,651.0,10.0,82.0,625.0,26.2,2.0,0.0,17.0,1.0,7.0,4.0,3.0,22.0,6.0,3.0,48.0,13.0,22.0,5.0,63.0,0.2,0.0,24.0,0.0,2.4,0.0,0.0,0.0,0.2,54.2,5.2,1.0,0.8,80.0,5.6,65.2,9.2,49.8,6.0,2.4,1.4,0.8,1.0,42.9,0.0,0.6,3.6,4.4,0.0,0.0,0.0,0.0,2.2,0.0,1.2,50.0,0.0,0.0,4.8,1.1,2.2,0.6,0.2,130.3,2.0,16.4,22.4,0.4,0.0,3.4,0.2,1.4,0.8,0.6,4.4,1.2,0.6,9.6,2.6,4.4
CD_I1023273,0.0,Hugo,Hall-Kahan,18,188,78,45,RIGHT,VIC,2022,,East Sandringham (Vic)/Hailebury College (Vic)/Old Haileybury (Vic)/Sandringham U18,11.0,other,MEDIUM_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2022/1023273.png?i10c=img.resize(scale_height:0.6),22/09/2003,CD_T160,SYD,Sydney Swans,Swans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
